Generation,ID,Pokemon,Abilities,BaseExperience,Height,Moves,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed
Generation.I,11,Metapod,shed-skin,72,7,"string-shot, harden, iron-defense, bug-bite, electroweb",50,20,55,25,25,50
Generation.I,12,Butterfree,"compound-eyes, tinted-lens (Hidden)",178,11,"razor-wind, gust, whirlwind, take-down, double-edge, supersonic, psybeam, hyper-beam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, rage, teleport, mimic, double-team, reflect, bide, swift, dream-eater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, sweet-scent, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, facade, skill-swap, secret-power, air-cutter, silver-wind, signal-beam, aerial-ace, roost, natural-gift, tailwind, u-turn, air-slash, bug-buzz, energy-ball, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, rage-powder, quiver-dance, round, acrobatics, struggle-bug, electroweb, confide, infestation",60,45,50,90,80,60
Generation.I,13,Weedle,"shield-dust, run-away (Hidden)",39,3,"poison-sting, string-shot, bug-bite, electroweb",40,35,30,20,20,40
Generation.I,14,Kakuna,shed-skin,72,6,"string-shot, harden, iron-defense, bug-bite, electroweb",45,25,50,25,25,45
Generation.I,15,Beedrill,"swarm, sniper (Hidden)",178,10,"swords-dance, cut, fury-attack, take-down, double-edge, twineedle, pin-missile, hyper-beam, mega-drain, solar-beam, string-shot, toxic, agility, rage, mimic, double-team, reflect, focus-energy, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, sweet-scent, hidden-power, sunny-day, rock-smash, facade, brick-break, knock-off, endeavor, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, payback, assurance, toxic-spikes, poison-jab, x-scissor, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, round, acrobatics, struggle-bug, electroweb, drill-run, fell-stinger, confide, infestation, brutal-swing",65,90,40,45,80,65
Generation.I,16,Pidgey,"keen-eye, tangled-feet, big-pecks (Hidden)",50,3,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, feint-attack, mud-slap, foresight, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, brave-bird, defog, captivate, ominous-wind, round, work-up, hurricane, confide",40,45,40,35,35,40
Generation.I,17,Pidgeotto,"keen-eye, tangled-feet, big-pecks (Hidden)",122,11,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, defog, captivate, ominous-wind, round, work-up, hurricane, confide",63,60,55,50,50,63
Generation.I,18,Pidgeot,"keen-eye, tangled-feet, big-pecks (Hidden)",216,15,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, tackle, take-down, double-edge, hyper-beam, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, giga-impact, defog, captivate, ominous-wind, round, work-up, hurricane, confide",83,80,75,70,70,83
Generation.I,19,Rattata,"run-away, guts, hustle (Hidden)",51,3,"cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, water-gun, ice-beam, blizzard, bubble-beam, counter, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, flame-wheel, snore, curse, reversal, protect, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, revenge, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, me-first, last-resort, sucker-punch, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, final-gambit, work-up, wild-charge, confide",30,56,35,25,35,30
Generation.I,20,Raticate,"run-away, guts, hustle (Hidden)",145,7,"swords-dance, cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, counter, strength, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, double-team, defense-curl, focus-energy, bide, swift, skull-bash, rest, hyper-fang, super-fang, substitute, thief, snore, curse, protect, scary-face, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, last-resort, sucker-punch, giga-impact, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, work-up, wild-charge, confide",55,81,60,50,70,55
Generation.I,21,Spearow,"keen-eye, sniper (Hidden)",52,3,"razor-wind, whirlwind, fly, fury-attack, take-down, double-edge, leer, growl, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, scary-face, feint-attack, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide",40,60,30,31,31,40
Generation.I,22,Fearow,"keen-eye, sniper (Hidden)",155,12,"razor-wind, whirlwind, fly, fury-attack, take-down, double-edge, leer, growl, hyper-beam, peck, drill-peck, toxic, agility, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, giga-impact, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide",65,90,65,61,61,65
Generation.I,23,Ekans,"intimidate, shed-skin, unnerve (Hidden)",58,20,"bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, disable, acid, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, beat-up, stockpile, spit-up, swallow, torment, facade, snatch, secret-power, poison-fang, rock-tomb, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, belch, confide, infestation, brutal-swing",35,60,44,40,54,35
Generation.I,24,Arbok,"intimidate, shed-skin, unnerve (Hidden)",157,35,"bind, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, acid, hyper-beam, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, rest, rock-slide, substitute, thief, snore, curse, spite, protect, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, crunch, stockpile, spit-up, swallow, torment, facade, snatch, secret-power, rock-tomb, natural-gift, payback, gastro-acid, poison-jab, dark-pulse, aqua-tail, seed-bomb, giga-impact, thunder-fang, ice-fang, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, dragon-tail, belch, confide, infestation, brutal-swing",60,95,69,65,79,60
Generation.I,25,Pikachu[c],"static, lightning-rod (Hidden)",112,4,"mega-punch, pay-day, thunder-punch, slam, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, snore, curse, protect, mud-slap, zap-cannon, detect, endure, rollout, swagger, spark, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, rock-smash, facade, focus-punch, helping-hand, brick-break, knock-off, secret-power, signal-beam, covet, shock-wave, natural-gift, feint, fling, magnet-rise, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, play-nice, confide, nuzzle",35,55,40,50,50,35
Generation.I,26,Raichu,"static, lightning-rod (Hidden)",218,8,"mega-punch, pay-day, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, hyper-beam, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, protect, mud-slap, zap-cannon, detect, endure, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, rock-smash, facade, focus-punch, helping-hand, brick-break, knock-off, secret-power, signal-beam, covet, shock-wave, natural-gift, fling, magnet-rise, focus-blast, giga-impact, captivate, grass-knot, charge-beam, round, echoed-voice, volt-switch, electroweb, wild-charge, confide",60,90,55,90,80,60
Generation.I,27,Sandshrew,"sand-veil, sand-rush (Hidden)",60,6,"scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, flail, protect, mud-slap, detect, sandstorm, endure, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, mud-shot, covet, gyro-ball, natural-gift, fling, poison-jab, night-slash, x-scissor, earth-power, shadow-claw, rock-climb, captivate, stealth-rock, hone-claws, round, chip-away, bulldoze, rototiller, confide",50,75,85,20,30,50
Generation.I,28,Sandslash,"sand-veil, sand-rush (Hidden)",158,10,"scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, protect, mud-slap, detect, sandstorm, endure, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, covet, gyro-ball, natural-gift, fling, poison-jab, x-scissor, focus-blast, earth-power, giga-impact, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, round, bulldoze, confide",75,100,110,45,55,75
Generation.I,29,Nidoran♀,"poison-point, rivalry, hustle (Hidden)",55,4,"scratch, cut, double-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, supersonic, disable, ice-beam, blizzard, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, fury-swipes, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, charm, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-fang, aerial-ace, poison-tail, shock-wave, water-pulse, natural-gift, toxic-spikes, poison-jab, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, chip-away, confide, venom-drench",55,47,52,40,40,55
Generation.I,30,Nidorina,"poison-point, rivalry, hustle (Hidden)",128,8,"scratch, cut, double-kick, headbutt, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, water-gun, ice-beam, blizzard, bubble-beam, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, bide, skull-bash, fury-swipes, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, crunch, rock-smash, flatter, facade, helping-hand, secret-power, poison-fang, aerial-ace, shock-wave, water-pulse, natural-gift, toxic-spikes, poison-jab, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, confide",70,62,67,55,55,70
Generation.I,31,Nidoqueen,"poison-point, rivalry, sheer-force (Hidden)",227,13,"mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, scratch, cut, double-kick, mega-kick, headbutt, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, roar, flamethrower, water-gun, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, reflect, bide, fire-blast, skull-bash, rest, rock-slide, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, icy-wind, detect, outrage, sandstorm, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, uproar, torment, facade, focus-punch, taunt, helping-hand, superpower, brick-break, secret-power, rock-tomb, aerial-ace, shock-wave, water-pulse, natural-gift, fling, poison-jab, aqua-tail, dragon-pulse, focus-blast, earth-power, giga-impact, avalanche, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, venoshock, smack-down, sludge-wave, round, echoed-voice, chip-away, incinerate, quash, bulldoze, dragon-tail, drill-run, confide, power-up-punch",90,92,87,75,85,90
Generation.I,32,Nidoran♂,"poison-point, rivalry, hustle (Hidden)",55,5,"cut, double-kick, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, double-edge, poison-sting, leer, supersonic, disable, ice-beam, blizzard, peck, counter, strength, thunderbolt, thunder, dig, toxic, confusion, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, amnesia, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-tail, shock-wave, water-pulse, natural-gift, sucker-punch, toxic-spikes, poison-jab, shadow-claw, captivate, head-smash, hone-claws, venoshock, round, echoed-voice, chip-away, drill-run, confide, venom-drench, smart-strike",46,57,40,40,40,46
Generation.I,33,Nidorino,"poison-point, rivalry, hustle (Hidden)",128,9,"cut, double-kick, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, double-edge, poison-sting, leer, water-gun, ice-beam, blizzard, bubble-beam, peck, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, flatter, facade, helping-hand, secret-power, shock-wave, water-pulse, natural-gift, sucker-punch, toxic-spikes, poison-jab, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, drill-run, confide, smart-strike",61,72,57,55,55,61
Generation.I,34,Nidoking,"poison-point, rivalry, sheer-force (Hidden)",227,14,"mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, cut, double-kick, mega-kick, headbutt, horn-attack, horn-drill, tackle, body-slam, take-down, thrash, double-edge, poison-sting, roar, flamethrower, water-gun, surf, ice-beam, blizzard, bubble-beam, hyper-beam, peck, submission, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, fire-blast, skull-bash, rest, rock-slide, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, icy-wind, detect, outrage, sandstorm, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, megahorn, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, uproar, torment, facade, focus-punch, taunt, helping-hand, superpower, brick-break, secret-power, rock-tomb, shock-wave, water-pulse, natural-gift, fling, sucker-punch, poison-jab, aqua-tail, dragon-pulse, focus-blast, earth-power, giga-impact, avalanche, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, venoshock, smack-down, sludge-wave, round, echoed-voice, chip-away, incinerate, quash, bulldoze, dragon-tail, drill-run, confide, power-up-punch, smart-strike",81,102,77,85,75,81
